Gene	Non-unique Gene name	Annotation	No. isolates	No. sequences	Avg sequences per isolate	Genome Fragment	Order within Fragment	Accessory Fragment	Accessory Order with Fragment	QC	Min group size nuc	Max group size nuc	Avg group size nuc	ERR494558	ERR713656	ERR278423	ERR083948	ERR083973	ERR084064	ERR108372	ERR128814	ERR193205	ERR221288	ERR221374	ERR278230	ERR278242	ERR278359	ERR278461	ERR343073	ERR356128	ERR593768	H1604	H1605	H1606	H1607	H1608	H1662	H1664	H1666	H1668	H1670	H704	SRR065736
pglH		general glycosylation pathway protein	36	36	1	1	656				1076	1076	1076	ERR494558_01262	ERR713656_01352	ERR278423_00971	ERR083948_00669	ERR083973_00861	ERR084064_01660	ERR108372_00447	ERR128814_00748	ERR193205_00782	ERR221288_00637	ERR221374_01361	ERR278230_01291	ERR278242_00949	ERR278359_01609	ERR278461_01536	ERR343073_01078	ERR356128_01595	ERR593768_01313	H1604_01168	H1605_01295	H1606_01150	H1607_01561	H1608_01019	H1662_01228	H1664_01312	H1666_01489	H1668_01277	H1670_01294	H704_01121	SRR065736_01125
gmhA1		Phosphoheptose isomerase 1	36	36	1	1	892				560	560	560	ERR494558_01281	ERR713656_01372	ERR278423_00990	ERR083948_00693	ERR083973_00886	ERR084064_01678	ERR108372_00421	ERR128814_00767	ERR193205_00807	ERR221288_00663	ERR221374_01385	ERR278230_01267	ERR278242_00973	ERR278359_01627	ERR278461_01556	ERR343073_01097	ERR356128_01615	ERR593768_01331	H1604_01185	H1605_01315	H1606_01175	H1607_01536	H1608_01042	H1662_01246	H1664_01694	H1666_01513	H1668_01296	H1670_01314	H704_01136	SRR065736_01654
dnaX		DNA polymerase III subunits gamma and tau	36	36	1	1	877				1529	1535	1531	ERR494558_01289	ERR713656_01380	ERR278423_00998	ERR083948_00701	ERR083973_00894	ERR084064_01686	ERR108372_00413	ERR128814_00775	ERR193205_00815	ERR221288_00671	ERR221374_01393	ERR278230_01259	ERR278242_00981	ERR278359_01635	ERR278461_01564	ERR343073_01105	ERR356128_01623	ERR593768_01339	H1604_01193	H1605_01323	H1606_01183	H1607_01528	H1608_01050	H1662_01254	H1664_01686	H1666_01521	H1668_01304	H1670_01322	H704_01144	SRR065736_01646
group_1008		heavy metal transport/detoxification protein	36	36	1	1	874				194	194	194	ERR494558_01292	ERR713656_01383	ERR278423_01001	ERR083948_00704	ERR083973_00897	ERR084064_01689	ERR108372_00410	ERR128814_00778	ERR193205_00818	ERR221288_00674	ERR221374_01396	ERR278230_01256	ERR278242_00984	ERR278359_01638	ERR278461_01567	ERR343073_01108	ERR356128_01626	ERR593768_01342	H1604_01196	H1605_01326	H1606_01186	H1607_01525	H1608_01053	H1662_01257	H1664_01683	H1666_01524	H1668_01308	H1670_01325	H704_01147	SRR065736_01643
group_1011		Putative periplasmic protein	36	36	1	1	841				779	806	805	ERR494558_01323	ERR713656_01414	ERR278423_01032	ERR083948_00734	ERR083973_00929	ERR084064_01720	ERR108372_00378	ERR128814_00809	ERR193205_00849	ERR221288_00706	ERR221374_01426	ERR278230_01226	ERR278242_01014	ERR278359_01669	ERR278461_01598	ERR343073_01139	ERR356128_01658	ERR593768_01372	H1604_01227	H1605_01357	H1606_01217	H1607_00920	H1608_01083	H1662_01288	H1664_01333	H1666_01554	H1668_01339	H1670_01357	H704_01178	SRR065736_01148
dsbE		lipoprotein thioredoxin	36	36	1	1	823				557	557	557	ERR494558_01336	ERR713656_01427	ERR278423_01046	ERR083948_00748	ERR083973_00943	ERR084064_01734	ERR108372_00365	ERR128814_00823	ERR193205_00863	ERR221288_00720	ERR221374_01440	ERR278230_01212	ERR278242_01028	ERR278359_01683	ERR278461_01612	ERR343073_01153	ERR356128_01672	ERR593768_01385	H1604_01240	H1605_01370	H1606_01230	H1607_00934	H1608_01096	H1662_01301	H1664_01346	H1666_01568	H1668_01352	H1670_01370	H704_01191	SRR065736_01162
dccR		two-component regulator	36	36	1	1	1474				437	665	658	ERR494558_01408	ERR713656_01442	ERR278423_01061	ERR083948_00764	ERR083973_00958	ERR084064_01749	ERR108372_00350	ERR128814_00838	ERR193205_00878	ERR221288_00735	ERR221374_01456	ERR278230_01196	ERR278242_01044	ERR278359_01698	ERR278461_01627	ERR343073_01168	ERR356128_01687	ERR593768_01400	H1604_01255	H1605_01385	H1606_01245	H1607_00949	H1608_01112	H1662_01316	H1664_01363	H1666_01584	H1668_01367	H1670_01385	H704_01206	SRR065736_01177
pdxJ		pyridoxine 5'-phosphate synthase	36	36	1	1	1459				773	788	775	ERR494558_01424	ERR713656_01458	ERR278423_01077	ERR083948_00780	ERR083973_00974	ERR084064_01765	ERR108372_00334	ERR128814_00854	ERR193205_00895	ERR221288_00751	ERR221374_01472	ERR278230_01180	ERR278242_01060	ERR278359_01714	ERR278461_01643	ERR343073_01184	ERR356128_01703	ERR593768_01416	H1604_01271	H1605_01401	H1606_01261	H1607_00965	H1608_01128	H1662_01332	H1664_01379	H1666_01600	H1668_01383	H1670_01401	H704_01222	SRR065736_01193
araJ		MFS transport protein	36	36	1	1	231				1199	1229	1200	ERR494558_01427	ERR713656_01461	ERR278423_01080	ERR083948_00783	ERR083973_00977	ERR084064_01768	ERR108372_00331	ERR128814_00857	ERR193205_00898	ERR221288_00754	ERR221374_01475	ERR278230_01177	ERR278242_01063	ERR278359_01717	ERR278461_01646	ERR343073_01187	ERR356128_01706	ERR593768_01419	H1604_01274	H1605_01404	H1606_01264	H1607_00968	H1608_01131	H1662_01335	H1664_01382	H1666_01603	H1668_01386	H1670_01404	H704_01225	SRR065736_01196
group_1025		FIG00469756: hypothetical protein	36	36	1	1	232				263	320	315	ERR494558_01428	ERR713656_01462	ERR278423_01081	ERR083948_00784	ERR083973_00978	ERR084064_01769	ERR108372_00330	ERR128814_00858	ERR193205_00899	ERR221288_00755	ERR221374_01476	ERR278230_01176	ERR278242_01064	ERR278359_01718	ERR278461_01647	ERR343073_01188	ERR356128_01707	ERR593768_01420	H1604_01275	H1605_01405	H1606_01265	H1607_00969	H1608_01132	H1662_01336	H1664_01383	H1666_01604	H1668_01387	H1670_01405	H704_01226	SRR065736_01197
