Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,OXC8500,OXC8749,OXC8885,OXC4567,OXC6332,OXC6357,OXC6453,OXC6609,OXC6729,OXC7157,OXC7004,OXC7095,OXC7345,OXC7358,OXC7452,OXC4632,OXC7664,OXC6927,H1604,H1605,H1606,H1607,H1608,H1662,H1664,H1666,H1668,H1670,H704,H22082
tig,,trigger factor,36,36,1,1,1194,,,,719,1343,1317,OXC8500_01592,OXC8749_01506,OXC8885_00010,OXC4567_00313,OXC6332_01108,OXC6357_01229,OXC6453_00924,OXC6609_01647,OXC6729_00576,OXC7157_00450,OXC7004_00638,OXC7095_00831,OXC7345_01084,OXC7358_00555,OXC7452_01090,OXC4632_00536,OXC7664_00543,OXC6927_00048,H1604_01099,H1605_00864,H1606_00588,H1607_00340,H1608_00677,H1662_00850,H1664_01019,H1666_00891,H1668_00580,H1670_00369,H704_00129,H22082_00074
yigZ,,phosphoenolpyruvate carboxykinase,36,36,1,1,1450,,,,362,584,577,OXC8500_00004,OXC8749_00377,OXC8885_01233,OXC4567_00899,OXC6332_01442,OXC6357_00428,OXC6453_01161,OXC6609_01349,OXC6729_00798,OXC7157_00388,OXC7004_00575,OXC7095_00885,OXC7345_00378,OXC7358_00809,OXC7452_00858,OXC4632_00742,OXC7664_00321,OXC6927_00194,H1604_00827,H1605_00804,H1606_00931,H1607_00278,H1608_00628,H1662_00380,H1664_00536,H1666_00206,H1668_00003,H1670_00976,H704_01368,H22082_01647
yceI,,periplasmic protein,36,36,1,1,1436,,,,572,572,572,OXC8500_00013,OXC8749_00386,OXC8885_01223,OXC4567_00890,OXC6332_01433,OXC6357_00417,OXC6453_01152,OXC6609_01338,OXC6729_00789,OXC7157_00377,OXC7004_00564,OXC7095_00894,OXC7345_00369,OXC7358_00818,OXC7452_00867,OXC4632_00733,OXC7664_00330,OXC6927_00203,H1604_00818,H1605_00795,H1606_00920,H1607_00267,H1608_00619,H1662_00389,H1664_00527,H1666_00197,H1668_00012,H1670_00967,H704_00649,H22082_00030
group_1012,,HIT family protein,36,36,1,1,1435,,,,362,362,362,OXC8500_00014,OXC8749_00387,OXC8885_01222,OXC4567_00889,OXC6332_01432,OXC6357_00416,OXC6453_01151,OXC6609_01337,OXC6729_00788,OXC7157_00376,OXC7004_00563,OXC7095_00895,OXC7345_00368,OXC7358_00819,OXC7452_00868,OXC4632_00732,OXC7664_00331,OXC6927_00204,H1604_00817,H1605_00794,H1606_00919,H1607_00266,H1608_00618,H1662_00390,H1664_00526,H1666_00196,H1668_00013,H1670_00966,H704_00650,H22082_00029
group_1013,,SrpA-related protein,36,36,1,1,1434,,,,704,704,704,OXC8500_00015,OXC8749_00388,OXC8885_01221,OXC4567_00888,OXC6332_01431,OXC6357_00415,OXC6453_01150,OXC6609_01336,OXC6729_00787,OXC7157_00375,OXC7004_00562,OXC7095_00896,OXC7345_00367,OXC7358_00820,OXC7452_00869,OXC4632_00731,OXC7664_00332,OXC6927_00205,H1604_00816,H1605_00793,H1606_00918,H1607_00265,H1608_00617,H1662_00391,H1664_00525,H1666_00195,H1668_00014,H1670_00965,H704_00651,H22082_00028
group_1014,,ATP/GTP binding protein,36,36,1,1,1429,,,,1829,1829,1829,OXC8500_00021,OXC8749_00394,OXC8885_01215,OXC4567_00883,OXC6332_01426,OXC6357_00409,OXC6453_01145,OXC6609_01330,OXC6729_00781,OXC7157_00369,OXC7004_00556,OXC7095_00901,OXC7345_00362,OXC7358_00825,OXC7452_00874,OXC4632_00726,OXC7664_00338,OXC6927_00210,H1604_00810,H1605_00787,H1606_00912,H1607_00259,H1608_00612,H1662_00397,H1664_00520,H1666_00190,H1668_00019,H1670_00959,H704_00656,H22082_00023
aroE,,shikimate 5-dehydrogenase,36,36,1,1,1422,,,,788,788,788,OXC8500_00028,OXC8749_00401,OXC8885_01208,OXC4567_00876,OXC6332_01419,OXC6357_00402,OXC6453_01138,OXC6609_01323,OXC6729_00774,OXC7157_00362,OXC7004_00549,OXC7095_00908,OXC7345_00355,OXC7358_00832,OXC7452_00881,OXC4632_00719,OXC7664_00345,OXC6927_00217,H1604_00803,H1605_00780,H1606_00905,H1607_00252,H1608_00605,H1662_00404,H1664_00513,H1666_00183,H1668_00026,H1670_00952,H704_00663,H22082_00016
group_1016,,DedD protein,36,36,1,1,1421,,,,836,836,836,OXC8500_00029,OXC8749_00402,OXC8885_01207,OXC4567_00875,OXC6332_01418,OXC6357_00401,OXC6453_01137,OXC6609_01322,OXC6729_00773,OXC7157_00361,OXC7004_00548,OXC7095_00909,OXC7345_00354,OXC7358_00833,OXC7452_00882,OXC4632_00718,OXC7664_00346,OXC6927_00218,H1604_00802,H1605_00779,H1606_00904,H1607_00251,H1608_00604,H1662_00405,H1664_00512,H1666_00182,H1668_00027,H1670_00951,H704_00664,H22082_00015
group_1017,,ABC transporter,36,36,1,1,1420,,,,533,545,542,OXC8500_00030,OXC8749_00403,OXC8885_01206,OXC4567_00874,OXC6332_01417,OXC6357_00400,OXC6453_01136,OXC6609_01321,OXC6729_00772,OXC7157_00360,OXC7004_00547,OXC7095_00910,OXC7345_00353,OXC7358_00834,OXC7452_00883,OXC4632_00717,OXC7664_00347,OXC6927_00219,H1604_00801,H1605_00778,H1606_00903,H1607_00250,H1608_00603,H1662_00406,H1664_00511,H1666_00181,H1668_00028,H1670_00950,H704_00665,H22082_00014
group_1018,,TRAM-like protein,36,36,1,1,1412,,,,290,290,290,OXC8500_00038,OXC8749_00411,OXC8885_01198,OXC4567_00866,OXC6332_01409,OXC6357_00392,OXC6453_01128,OXC6609_01313,OXC6729_00764,OXC7157_00352,OXC7004_00539,OXC7095_00918,OXC7345_00345,OXC7358_00842,OXC7452_00891,OXC4632_00709,OXC7664_00355,OXC6927_00227,H1604_00793,H1605_00770,H1606_00894,H1607_00242,H1608_00595,H1662_00414,H1664_00503,H1666_00173,H1668_00036,H1670_00942,H704_00673,H22082_00005
group_1019,,hydrogenase-4 component G,36,36,1,1,1408,,,,635,635,635,OXC8500_00042,OXC8749_00415,OXC8885_01194,OXC4567_00862,OXC6332_01405,OXC6357_00388,OXC6453_01124,OXC6609_01309,OXC6729_00760,OXC7157_00348,OXC7004_00535,OXC7095_00922,OXC7345_00341,OXC7358_00846,OXC7452_00895,OXC4632_00705,OXC7664_00359,OXC6927_00231,H1604_00789,H1605_00766,H1606_00890,H1607_00238,H1608_00591,H1662_00418,H1664_00499,H1666_00168,H1668_00040,H1670_00938,H704_00677,H22082_00001
trpS,,Tryptophanyl-tRNA synthetase,36,36,1,1,1405,,,,959,959,959,OXC8500_00045,OXC8749_00418,OXC8885_01191,OXC4567_00859,OXC6332_01402,OXC6357_00385,OXC6453_01121,OXC6609_01306,OXC6729_00757,OXC7157_00345,OXC7004_00532,OXC7095_00925,OXC7345_00338,OXC7358_00849,OXC7452_00898,OXC4632_00702,OXC7664_00362,OXC6927_00234,H1604_00786,H1605_00763,H1606_00887,H1607_00235,H1608_00588,H1662_00421,H1664_00496,H1666_00165,H1668_00043,H1670_00935,H704_00680,H22082_01044
yedY,,Putative sulfite oxidase subunit YedY,36,36,1,1,1396,,,,893,893,893,OXC8500_00054,OXC8749_00427,OXC8885_01182,OXC4567_00850,OXC6332_01394,OXC6357_00376,OXC6453_01112,OXC6609_01297,OXC6729_00748,OXC7157_00336,OXC7004_00523,OXC7095_00933,OXC7345_00330,OXC7358_00857,OXC7452_00907,OXC4632_00693,OXC7664_00371,OXC6927_00243,H1604_00777,H1605_00754,H1606_00878,H1607_00226,H1608_00580,H1662_00430,H1664_00487,H1666_00157,H1668_00052,H1670_00926,H704_00689,H22082_01053
group_1023,,ferric reductase,36,36,1,1,1395,,,,539,572,561,OXC8500_00055,OXC8749_00428,OXC8885_01181,OXC4567_00849,OXC6332_01393,OXC6357_00375,OXC6453_01111,OXC6609_01296,OXC6729_00747,OXC7157_00335,OXC7004_00522,OXC7095_00934,OXC7345_00329,OXC7358_00858,OXC7452_00908,OXC4632_00692,OXC7664_00372,OXC6927_00244,H1604_00776,H1605_00753,H1606_00877,H1607_00225,H1608_00579,H1662_00431,H1664_00486,H1666_00156,H1668_00053,H1670_00925,H704_00690,H22082_01054
group_1024,,periplasmic protein,36,36,1,1,1392,,,,824,824,824,OXC8500_00057,OXC8749_00430,OXC8885_01179,OXC4567_00847,OXC6332_01391,OXC6357_00373,OXC6453_01109,OXC6609_01294,OXC6729_00745,OXC7157_00333,OXC7004_00520,OXC7095_00936,OXC7345_00327,OXC7358_00860,OXC7452_00910,OXC4632_00690,OXC7664_00374,OXC6927_00246,H1604_00774,H1605_00751,H1606_00875,H1607_00223,H1608_00577,H1662_00433,H1664_00483,H1666_00154,H1668_00055,H1670_00923,H704_00692,H22082_01056
group_1025,,FIG001943: hypothetical protein YajQ,36,36,1,1,1390,,,,491,491,491,OXC8500_00059,OXC8749_00432,OXC8885_01177,OXC4567_00845,OXC6332_01389,OXC6357_00371,OXC6453_01107,OXC6609_01292,OXC6729_00743,OXC7157_00331,OXC7004_00518,OXC7095_00938,OXC7345_00325,OXC7358_00862,OXC7452_00912,OXC4632_00688,OXC7664_00376,OXC6927_00248,H1604_00772,H1605_00749,H1606_00873,H1607_00221,H1608_00575,H1662_00435,H1664_00481,H1666_00152,H1668_00057,H1670_00921,H704_00694,H22082_01058
cmeR,,transcriptional regulator CmeR,36,36,1,1,1384,,,,506,632,628,OXC8500_00065,OXC8749_00438,OXC8885_01171,OXC4567_00839,OXC6332_01383,OXC6357_00365,OXC6453_01101,OXC6609_01286,OXC6729_00737,OXC7157_00325,OXC7004_00512,OXC7095_00944,OXC7345_00319,OXC7358_00868,OXC7452_00918,OXC4632_00682,OXC7664_00382,OXC6927_00254,H1604_00766,H1605_00743,H1606_00867,H1607_00215,H1608_00569,H1662_00441,H1664_00475,H1666_00146,H1668_00063,H1670_00915,H704_00700,H22082_01064
lspA,,lipoprotein signal peptidase,36,36,1,1,1374,,,,470,470,470,OXC8500_00072,OXC8749_00445,OXC8885_01164,OXC4567_00832,OXC6332_01376,OXC6357_00358,OXC6453_01094,OXC6609_01279,OXC6729_00730,OXC7157_00318,OXC7004_00505,OXC7095_00951,OXC7345_00312,OXC7358_00875,OXC7452_00925,OXC4632_00675,OXC7664_00389,OXC6927_00261,H1604_00759,H1605_00736,H1606_00860,H1607_00208,H1608_00562,H1662_00449,H1664_00468,H1666_00139,H1668_00070,H1670_00907,H704_00707,H22082_01071
group_1028,,putative dihydroneopterin aldolase,36,36,1,1,1370,,,,317,317,317,OXC8500_00076,OXC8749_00449,OXC8885_01160,OXC4567_00828,OXC6332_01372,OXC6357_00354,OXC6453_01090,OXC6609_01275,OXC6729_00726,OXC7157_00314,OXC7004_00501,OXC7095_00955,OXC7345_00308,OXC7358_00879,OXC7452_00929,OXC4632_00671,OXC7664_00393,OXC6927_00265,H1604_00755,H1605_00732,H1606_00856,H1607_00204,H1608_00558,H1662_00453,H1664_00464,H1666_00135,H1668_00074,H1670_00903,H704_01075,H22082_01075
group_1029,,transmembrane protein,36,36,1,1,1366,,,,797,797,797,OXC8500_00080,OXC8749_00453,OXC8885_01156,OXC4567_00824,OXC6332_01368,OXC6357_00350,OXC6453_01086,OXC6609_01271,OXC6729_00722,OXC7157_00310,OXC7004_00497,OXC7095_00959,OXC7345_00304,OXC7358_00883,OXC7452_00933,OXC4632_00667,OXC7664_00397,OXC6927_00269,H1604_00751,H1605_00728,H1606_00852,H1607_00200,H1608_00554,H1662_00457,H1664_00460,H1666_00131,H1668_00078,H1670_00899,H704_01079,H22082_01079
group_1030,,Putative uncharacterized protein FIG019238,36,36,1,1,1364,,,,422,422,422,OXC8500_00082,OXC8749_00455,OXC8885_01154,OXC4567_00822,OXC6332_01366,OXC6357_00348,OXC6453_01084,OXC6609_01269,OXC6729_00720,OXC7157_00308,OXC7004_00495,OXC7095_00961,OXC7345_00302,OXC7358_00885,OXC7452_00935,OXC4632_00665,OXC7664_00399,OXC6927_00271,H1604_00749,H1605_00726,H1606_00850,H1607_00198,H1608_00552,H1662_00459,H1664_00458,H1666_00129,H1668_00080,H1670_00897,H704_01081,H22082_01081
trpE,,anthranilate synthase component I,36,36,1,1,1359,,,,1250,1250,1250,OXC8500_00087,OXC8749_00460,OXC8885_01149,OXC4567_00817,OXC6332_01361,OXC6357_00343,OXC6453_01079,OXC6609_01264,OXC6729_00715,OXC7157_00303,OXC7004_00490,OXC7095_00966,OXC7345_00297,OXC7358_00890,OXC7452_00940,OXC4632_00660,OXC7664_00404,OXC6927_00276,H1604_00744,H1605_00721,H1606_00845,H1607_00193,H1608_00547,H1662_00464,H1664_00453,H1666_00124,H1668_00087,H1670_00892,H704_01086,H22082_01252
polA,,DNA polymerase I,36,36,1,1,1353,,,,2639,2639,2639,OXC8500_00093,OXC8749_00466,OXC8885_01143,OXC4567_00811,OXC6332_01355,OXC6357_00335,OXC6453_01070,OXC6609_01256,OXC6729_00706,OXC7157_00295,OXC7004_00482,OXC7095_00972,OXC7345_00291,OXC7358_00896,OXC7452_00949,OXC4632_00654,OXC7664_00413,OXC6927_00282,H1604_00738,H1605_00712,H1606_00837,H1607_00185,H1608_00541,H1662_00470,H1664_00444,H1666_00118,H1668_00093,H1670_00886,H704_01094,H22082_01244
fdxA_1,,ferredoxin,36,36,1,1,1348,,,,284,284,284,OXC8500_00098,OXC8749_00471,OXC8885_01138,OXC4567_00806,OXC6332_01350,OXC6357_00330,OXC6453_01065,OXC6609_01251,OXC6729_00701,OXC7157_00290,OXC7004_00477,OXC7095_00977,OXC7345_00286,OXC7358_00901,OXC7452_00954,OXC4632_00649,OXC7664_00418,OXC6927_00287,H1604_00733,H1605_00707,H1606_00832,H1607_00180,H1608_00536,H1662_00475,H1664_00439,H1666_00113,H1668_00098,H1670_00881,H704_01099,H22082_00189
plsX,,glycerol-3-phosphate acyltransferase,36,36,1,1,1344,,,,986,986,986,OXC8500_00102,OXC8749_00475,OXC8885_01134,OXC4567_00802,OXC6332_01346,OXC6357_00326,OXC6453_01061,OXC6609_01247,OXC6729_00697,OXC7157_00286,OXC7004_00473,OXC7095_00981,OXC7345_00282,OXC7358_00905,OXC7452_00958,OXC4632_00645,OXC7664_00422,OXC6927_00291,H1604_00729,H1605_00703,H1606_00828,H1607_00176,H1608_00532,H1662_00479,H1664_00435,H1666_00109,H1668_00102,H1670_00877,H704_01103,H22082_00185
serC,,phosphoserine aminotransferase,36,36,1,1,1341,,,,1076,1076,1076,OXC8500_00105,OXC8749_00478,OXC8885_01131,OXC4567_00799,OXC6332_01343,OXC6357_00323,OXC6453_01058,OXC6609_01244,OXC6729_00694,OXC7157_00283,OXC7004_00470,OXC7095_00984,OXC7345_00279,OXC7358_00908,OXC7452_00961,OXC4632_00642,OXC7664_00425,OXC6927_00294,H1604_00726,H1605_00700,H1606_00825,H1607_00173,H1608_00529,H1662_00482,H1664_00432,H1666_00106,H1668_00105,H1670_00874,H704_01106,H22082_00182
